dep,codgeo,libgeo,population,revenu_median,categorie_revenu,pression_socioeco
85,85062,Châteauneuf,1134.0,22110.0,Faible,0.13508480417380464
58,58300,Urzy,1742.0,24410.0,Moyen,0.19314842556827874
70,70137,Chassey-lès-Montbozon,225.0,22710.0,Faible,0.026318594549002178
51,51649,Vitry-le-François,11454.0,17890.0,Très faible,1.5377017284110661
78,78638,Vaux-sur-Seine,5083.0,29160.0,Élevé,0.47703786608147836
63,63089,Chappes,1617.0,25490.0,Élevé,0.17302842598348284
57,57235,Freistroff,1020.0,24070.0,Moyen,0.11433814834041528
66,66026,Brouilla,1581.0,22360.0,Faible,0.18691563175611414
27,27420,Mouflaines,164.0,22300.0,Faible,0.019424372074701702
42,42150,Montverdun,1322.0,22750.0,Faible,0.15444680099122401
15,15088,Lacapelle-Viescamp,513.0,23450.0,Moyen,0.05864553952749952
14,14541,La Roque-Baignard,110.0,,,
47,47066,Clermont-Dessous,844.0,21310.0,Faible,0.10295975428094761
60,60032,Autrêches,713.0,23080.0,Moyen,0.08245499973269693
39,39478,Saint-Claude,8727.0,20160.0,Très faible,1.1005858193827376
73,73005,Aillon-le-Vieux,206.0,22100.0,Faible,0.02454659952444846
50,50478,Saint-Germain-de-Tournebut,419.0,22170.0,Faible,0.04982216505857304
25,25612,Vieilley,675.0,23720.0,Moyen,0.07651185654055613
70,70007,Ailloncourt,306.0,21640.0,Faible,0.036967018859021386
12,12303,Vimenet,252.0,21510.0,Faible,0.030560864849030738
59,59668,Zuydcoote,1580.0,24280.0,Moyen,0.17592260207353452
35,35287,Saint-Lunaire,2525.0,27300.0,Élevé,0.25380635579581207
40,40134,Labouheyre,2839.0,19870.0,Très faible,0.36098543775342
24,24075,Campagnac-lès-Quercy,324.0,20860.0,Très faible,0.040047496220392796
11,11319,Roquefère,74.0,,,
41,41112,Lassay-sur-Croisne,245.0,24760.0,Élevé,0.026857566958910232
89,89059,Bussy-en-Othe,699.0,22630.0,Faible,0.08196356157057991
32,32233,Marciac,1206.0,20390.0,Très faible,0.15109760815365236
21,21348,Licey-sur-Vingeanne,102.0,,,
09,09014,Argein,192.0,19720.0,Très faible,0.024516487331277672
