dep,codgeo,libgeo,population,revenu_median,categorie_revenu,pression_socioeco,cluster
85,85062,Châteauneuf,1134.0,22110.0,Faible,0.1350848041738046,0
58,58300,Urzy,1742.0,24410.0,Moyen,0.1931484255682787,3
70,70137,Chassey-lès-Montbozon,225.0,22710.0,Faible,0.0263185945490021,0
51,51649,Vitry-le-François,11454.0,17890.0,Très faible,1.537701728411066,0
78,78638,Vaux-sur-Seine,5083.0,29160.0,Élevé,0.4770378660814783,2
63,63089,Chappes,1617.0,25490.0,Élevé,0.1730284259834828,3
57,57235,Freistroff,1020.0,24070.0,Moyen,0.1143381483404152,3
66,66026,Brouilla,1581.0,22360.0,Faible,0.1869156317561141,0
27,27420,Mouflaines,164.0,22300.0,Faible,0.0194243720747017,0
42,42150,Montverdun,1322.0,22750.0,Faible,0.154446800991224,0
15,15088,Lacapelle-Viescamp,513.0,23450.0,Moyen,0.0586455395274995,3
47,47066,Clermont-Dessous,844.0,21310.0,Faible,0.1029597542809476,0
60,60032,Autrêches,713.0,23080.0,Moyen,0.0824549997326969,3
39,39478,Saint-Claude,8727.0,20160.0,Très faible,1.1005858193827376,0
73,73005,Aillon-le-Vieux,206.0,22100.0,Faible,0.0245465995244484,0
50,50478,Saint-Germain-de-Tournebut,419.0,22170.0,Faible,0.049822165058573,0
25,25612,Vieilley,675.0,23720.0,Moyen,0.0765118565405561,3
70,70007,Ailloncourt,306.0,21640.0,Faible,0.0369670188590213,0
12,12303,Vimenet,252.0,21510.0,Faible,0.0305608648490307,0
59,59668,Zuydcoote,1580.0,24280.0,Moyen,0.1759226020735345,3
35,35287,Saint-Lunaire,2525.0,27300.0,Élevé,0.253806355795812,3
40,40134,Labouheyre,2839.0,19870.0,Très faible,0.36098543775342,0
24,24075,Campagnac-lès-Quercy,324.0,20860.0,Très faible,0.0400474962203927,0
41,41112,Lassay-sur-Croisne,245.0,24760.0,Élevé,0.0268575669589102,3
89,89059,Bussy-en-Othe,699.0,22630.0,Faible,0.0819635615705799,0
32,32233,Marciac,1206.0,20390.0,Très faible,0.1510976081536523,0
09,09014,Argein,192.0,19720.0,Très faible,0.0245164873312776,0
43,43201,Saint-Julien-d'Ance,247.0,20540.0,Très faible,0.0308133770974771,0
30,30320,Seynes,165.0,20920.0,Très faible,0.0203590688898625,0
76,76319,Grand-Couronne,9726.0,21100.0,Très faible,1.193798758604188,0
80,80549,Miraumont,639.0,21120.0,Très faible,0.0783869858267197,0
57,57014,Altrippe,369.0,24260.0,Moyen,0.0411121773360741,3
14,14066,Bernières-sur-Mer,2388.0,24440.0,Moyen,0.264518410037829,3
37,37171,Noizay,1125.0,23930.0,Moyen,0.1266728554679985,3
47,47068,Cocumont,1088.0,20580.0,Très faible,0.1355725500074733,0
81,81125,Lacaze,314.0,17220.0,Très faible,0.0429087281372016,0
27,27407,Mesnil-Verclives,318.0,23780.0,Moyen,0.0359771880520788,3
27,27188,Criquebeuf-sur-Seine,1524.0,26250.0,Élevé,0.15892484259421,3
67,67310,Mussig,1139.0,26370.0,Élevé,0.1182865379742366,3
55,55362,Moulins-Saint-Hubert,183.0,21630.0,Faible,0.0221142871210782,0
