dep,codgeo,libgeo,population
85,85062,Châteauneuf,1134.0
58,58300,Urzy,1742.0
70,70137,Chassey-lès-Montbozon,225.0
51,51649,Vitry-le-François,11454.0
78,78638,Vaux-sur-Seine,5083.0
63,63089,Chappes,1617.0
57,57235,Freistroff,1020.0
66,66026,Brouilla,1581.0
27,27420,Mouflaines,164.0
42,42150,Montverdun,1322.0
15,15088,Lacapelle-Viescamp,513.0
14,14541,La Roque-Baignard,110.0
47,47066,Clermont-Dessous,844.0
60,60032,Autrêches,713.0
39,39478,Saint-Claude,8727.0
73,73005,Aillon-le-Vieux,206.0
50,50478,Saint-Germain-de-Tournebut,419.0
25,25612,Vieilley,675.0
70,70007,Ailloncourt,306.0
12,12303,Vimenet,252.0
59,59668,Zuydcoote,1580.0
35,35287,Saint-Lunaire,2525.0
40,40134,Labouheyre,2839.0
24,24075,Campagnac-lès-Quercy,324.0
11,11319,Roquefère,74.0
41,41112,Lassay-sur-Croisne,245.0
89,89059,Bussy-en-Othe,699.0
32,32233,Marciac,1206.0
21,21348,Licey-sur-Vingeanne,102.0
09,09014,Argein,192.0
43,43201,Saint-Julien-d'Ance,247.0
30,30320,Seynes,165.0
76,76319,Grand-Couronne,9726.0
80,80549,Miraumont,639.0
57,57014,Altrippe,369.0
14,14066,Bernières-sur-Mer,2388.0
37,37171,Noizay,1125.0
47,47068,Cocumont,1088.0
81,81125,Lacaze,314.0
65,65217,Hautaget,58.0
62,62577,Monchel-sur-Canche,75.0
27,27407,Mesnil-Verclives,318.0
27,27188,Criquebeuf-sur-Seine,1524.0
67,67310,Mussig,1139.0
55,55362,Moulins-Saint-Hubert,183.0
10,10325,Rosières-près-Troyes,4749.0
45,45214,Montigny,238.0
07,07126,Lagorce,1195.0
08,08491,Vrigne-aux-Bois,3540.0
38,38474,Sassenage,11660.0
11,11269,Ouveillan,2554.0
35,35155,Lohéac,682.0
57,57072,Bettelainville,622.0
22,22254,Prat,1103.0
31,31141,Ciadoux,219.0
55,55574,Vouthon-Bas,41.0
71,71242,Joncy,512.0
80,80269,Épaumesnil,109.0
57,57486,Morville-sur-Nied,116.0
63,63461,Vinzelles,365.0
54,54460,Rogéville,155.0
43,43241,Solignac-sur-Loire,1283.0
54,54128,Choloy-Ménillot,706.0
67,67095,Diemeringen,1592.0
42,42225,Genilac,3843.0
57,57002,Aboncourt-sur-Seille,65.0
65,65013,Ansost,57.0
27,27033,Bacquepuis,307.0
52,52156,Curel,407.0
55,55514,Trémont-sur-Saulx,588.0
67,67460,Schwindratzheim,1759.0
44,44031,La Chapelle-Glain,807.0
55,55099,Champneuville,123.0
62,62624,Noyelles-Godault,5906.0
27,27667,Valailles,401.0
64,64161,Came,1013.0
23,23021,Bénévent-l'Abbaye,764.0
59,59588,Téteghem,8384.0
02,02460,Marcy-sous-Marle,205.0
36,36175,Rouvres-les-Bois,275.0
39,39203,Doye,106.0
82,82118,Montaïn,94.0
64,64360,Lurbe-Saint-Christau,201.0
46,46003,Alvignac,691.0
973,973353,Maripasoula,9177.0
23,23064,Clugnat,650.0
76,76524,Reuville,143.0
64,64474,Saint-Dos,158.0
77,77295,Moisenay,1371.0
64,64490,Saint-Martin-d'Arrossa,546.0
26,26345,Suze-la-Rousse,2096.0
76,76210,Dampierre-Saint-Nicolas,450.0
01,01408,Simandre-sur-Suran,656.0
40,40054,Brassempouy,267.0
16,16031,Barro,411.0
95,95301,Haute-Isle,290.0
51,51264,Le Gault-Soigny,503.0
25,25627,Villers-sous-Chalamont,296.0
74,74190,Morillon,669.0
60,60317,Hondainville,727.0
58,58055,Champvert,743.0
38,38174,La Frette,1092.0
28,28039,Béville-le-Comte,1682.0
11,11178,Labastide-d'Anjou,1271.0
60,60121,Campagne,159.0
68,68007,Andolsheim,2195.0
02,02063,Bellenglise,380.0
72,72334,Sillé-le-Guillaume,2195.0
14,14403,Marolles,744.0
78,78402,Mézières-sur-Seine,3826.0
39,39141,Chevigny,281.0
62,62112,Berles-au-Bois,523.0
67,67558,Zinswiller,725.0
16,16095,Chenon,127.0
31,31540,Ségreville,334.0
57,57287,Basse-Ham,2237.0
80,80442,Hombleux,1139.0
41,41121,La Madeleine-Villefrouin,32.0
80,80236,Davenescourt,557.0
23,23202,Saint-Hilaire-le-Château,226.0
55,55556,Ville-devant-Chaumont,49.0
62,62573,Meurchin,3717.0
38,38406,Saint-Julien-de-l'Herms,160.0
74,74238,Saint-Jean-d'Aulps,1596.0
60,60648,Troussencourt,319.0
87,87105,Neuvic-Entier,890.0
86,86217,Saint-Christophe,277.0
21,21055,Beaunotte,14.0
09,09292,Sentenac-de-Sérou,53.0
59,59627,Villers-Sire-Nicole,1006.0
88,88224,Hadigny-les-Verrières,380.0
52,52128,Cirey-lès-Mareilles,149.0
30,30341,Vauvert,11774.0
57,57471,Momerstroff,297.0
43,43262,Vieille-Brioude,1219.0
34,34126,Lamalou-les-Bains,2454.0
50,50174,Équilly,194.0
27,27323,La Haye-Saint-Sylvestre,290.0
84,84039,Courthézon,6064.0
26,26133,Fay-le-Clos,177.0
23,23232,Saint-Pierre-Bellevue,211.0
31,31465,Saccourvielle,20.0
14,14042,Baron-sur-Odon,1055.0
33,33174,Fronsac,1120.0
80,80469,Lawarde-Mauger-l'Hortoy,156.0
24,24242,Liorac-sur-Louyre,260.0
16,16244,Nersac,2289.0
68,68336,Traubach-le-Bas,445.0
80,80458,Lahoussoye,451.0
41,41236,Sasnières,88.0
18,18119,Jussy-Champagne,205.0
31,31351,Mondonville,5680.0
90,90045,Fêche-l'Église,739.0
32,32419,Sauviac,107.0
43,43022,Beaumont,268.0
55,55013,Arrancy-sur-Crusne,464.0
15,15016,Ayrens,620.0
21,21428,Monthelie,153.0
62,62735,Sailly-Labourse,2577.0
56,56083,Hennebont,15746.0
04,04069,Demandolx,119.0
38,38550,Villard-Reculas,65.0
45,45097,Chuelles,1222.0
54,54584,Villey-Saint-Étienne,1015.0
76,76481,Octeville-sur-Mer,6122.0
88,88394,Romain-aux-Bois,48.0
14,14714,Le Tronquay,779.0
57,57402,Liederschiedt,118.0
14,14483,Ouffières,194.0
31,31369,Mont-de-Galié,31.0
31,31134,Cazeneuve-Montaut,86.0
83,83122,Les Salles-sur-Verdon,232.0
52,52090,Celsoy,96.0
68,68374,Wintzenheim,7989.0
40,40161,Lubbon,82.0
37,37001,Abilly,1133.0
33,33104,Castelnau-de-Médoc,4829.0
22,22377,Tréveneuc,804.0
67,67279,Maennolsheim,239.0
60,60056,Beaurepaire,65.0
05,05065,Guillestre,2292.0
01,01194,Jassans-Riottier,6355.0
35,35262,Sainte-Colombe,360.0
04,04132,Montsalier,159.0
25,25431,Onans,357.0
02,02513,Montigny-le-Franc,135.0
63,63399,Saint-Sulpice,84.0
58,58247,Saint-Jean-aux-Amognes,505.0
59,59399,Merris,1049.0
84,84022,Buisson,261.0
58,58240,Saint-Franchy,78.0
02,02118,Braye,130.0
973,973313,Montsinéry-Tonnegrande,3295.0
91,91578,Saint-Sulpice-de-Favières,270.0
62,62145,Boiry-Notre-Dame,437.0
72,72119,Domfront-en-Champagne,1055.0
10,10046,Blaincourt-sur-Aube,103.0
78,78576,Saint-Rémy-l'Honoré,1668.0
71,71040,Blanzy,6012.0
16,16181,Lessac,519.0
80,80619,Pernois,712.0
68,68386,Zimmersheim,1059.0
45,45247,Pannes,3714.0
83,83046,Cotignac,2136.0
06,06044,La Colle-sur-Loup,8084.0
36,36217,Sembleçay,98.0
973,973358,Saint-Élie,241.0
44,44202,Teillé,1812.0
17,17041,Benon,1763.0
03,03093,Creuzier-le-Neuf,1230.0
971,971102,Anse-Bertrand,4052.0
30,30284,Saint-Martin-de-Valgalgues,4603.0
88,88227,Hagnéville-et-Roncourt,85.0
27,27273,Gadencourt,370.0
47,47288,Sauvagnas,522.0
24,24277,Monfaucon,288.0
73,73076,La Chapelle-du-Mont-du-Chat,266.0
31,31498,Saint-Loup-en-Comminges,38.0
89,89207,Jouancy,27.0
33,33339,Prignac-et-Marcamps,1420.0
35,35243,Romagné,2440.0
62,62546,Maninghen-Henne,318.0
66,66117,Mont-Louis,147.0
67,67230,Kaltenhouse,2478.0
27,27198,Damville,6145.0
32,32254,Miramont-d'Astarac,349.0
65,65391,Sainte-Marie,59.0
72,72362,Le Tronchet,168.0
69,69384,Lyon 4e  Arrondissement,35603.0
13,13206,Marseille 6e  Arrondissement,39647.0
40,40147,Laurède,368.0
47,47101,Fourques-sur-Garonne,1322.0
88,88076,Brouvelieures,421.0
42,42212,Saint-Cyr-de-Favières,1019.0
89,89321,Ravières,719.0
77,77416,Saint-Just-en-Brie,255.0
54,54248,Hamonville,101.0
82,82148,Puylaroque,682.0
47,47008,Ambrus,109.0
65,65145,Chèze,49.0
03,03063,Chassenard,1026.0
65,65085,Bernadets-Debat,103.0
59,59008,Aniche,9997.0
70,70112,Cemboing,170.0
84,84134,Travaillan,713.0
71,71009,Anost,710.0
33,33220,Lamarque,1337.0
07,07282,Saint-Pierre-de-Colombier,441.0
66,66214,Tresserre,1155.0
38,38089,Chassignieu,223.0
14,14283,Fourches,218.0
08,08268,Maisoncelle-et-Villers,70.0
54,54383,Mont-sur-Meurthe,1136.0
13,13061,Saint-Pierre-de-Mézoargues,223.0
62,62748,Saint-Folquin,2328.0
04,04203,Selonnet,466.0
71,71319,Montret,763.0
71,71580,Vincelles,439.0
22,22345,Trébry,801.0
24,24052,Bouillac,126.0
30,30306,Salinelles,553.0
25,25125,Charmoille,322.0
55,55327,Mauvages,244.0
16,16399,Verrières,333.0
58,58087,Cossaye,673.0
71,71270,Mâcon,34448.0
64,64097,Barzun,624.0
41,41168,Orçay,225.0
24,24477,Saint-Pardoux-de-Drône,192.0
70,70138,Chassey-lès-Scey,123.0
02,02352,Gouy,567.0
11,11102,Couffoulens,554.0
18,18022,Barlieu,339.0
68,68370,Wildenstein,161.0
59,59364,Louvil,895.0
45,45136,Ervauville,554.0
40,40012,Artassenx,260.0
78,78358,Maisons-Laffitte,23080.0
52,52431,Rochetaillée,161.0
88,88189,Fréville,130.0
43,43104,Grèzes,188.0
07,07176,Planzolles,161.0
67,67507,Villé,1775.0
73,73155,Méry,2135.0
01,01125,Corveissiat,596.0
06,06085,Mougins,19677.0
84,84082,Mormoiron,1879.0
38,38243,Le Monestier-du-Percy,248.0
11,11258,Moussan,2066.0
82,82030,Castelferrus,490.0
68,68204,Metzeral,1043.0
60,60347,Lannoy-Cuillère,284.0
61,61217,La Lande-de-Lougé,55.0
59,59508,Roncq,13784.0
17,17388,Saint-Quantin-de-Rançanne,252.0
21,21198,Corrombles,246.0
63,63247,Murol,640.0
76,76560,Saint-Aubin-Épinay,1019.0
21,21590,Savigny-lès-Beaune,1286.0
01,01058,Brégnier-Cordon,818.0
74,74275,Talloires,1926.0
59,59191,Élincourt,631.0
45,45255,Préfontaines,433.0
05,05066,La Haute-Beaume,8.0
06,06012,Beausoleil,12674.0
13,13111,Vauvenargues,1041.0
64,64365,Malaussanne,432.0
57,57254,Gorze,1145.0
21,21431,Montigny-sur-Armançon,154.0
79,79014,Argenton-l'Église,2599.0
57,57655,Solgne,1131.0
49,49336,Somloire,866.0
50,50048,Beslon,551.0
36,36198,Saint-Lactencin,402.0
50,50139,Condé-sur-Vire,4106.0
72,72135,La Fontaine-Saint-Martin,600.0
47,47229,Saint-Astier,224.0
14,14684,Tessel,251.0
49,49182,Louresse-Rochemenier,894.0
27,27363,Le Landin,244.0
86,86211,Romagne,836.0
42,42207,Saint-Chamond,35068.0
76,76065,Beaussault,412.0
03,03178,Montaiguët-en-Forez,287.0
71,71213,La Genête,565.0
28,28257,Mondonville-Saint-Jean,90.0
17,17376,Saint-Ouen-d'Aunis,2083.0
56,56107,Larmor-Plage,8318.0
34,34054,Cassagnoles,110.0
39,39291,Lemuy,242.0
88,88441,Sans-Vallois,128.0
52,52103,Champigny-sous-Varennes,126.0
57,57076,Beyren-lès-Sierck,504.0
51,51592,Vandières,298.0
45,45277,Saint-Florent,448.0
51,51152,Chigny-les-Roses,530.0
23,23148,Nouziers,248.0
62,62114,Bermicourt,169.0
10,10198,Lirey,110.0
19,19281,Veix,71.0
71,71131,Ciel,881.0
51,51646,Virginy,82.0
18,18248,Senneçay,459.0
25,25275,Glère,185.0
64,64407,Mouguerre,5291.0
71,71330,Neuvy-Grandchamp,749.0
16,16103,Combiers,124.0
77,77128,Couilly-Pont-aux-Dames,2100.0
40,40251,Saint-Barthélemy,430.0
10,10162,Fresnoy-le-Château,300.0
67,67139,Flexbourg,483.0
62,62530,Lottinghen,537.0
17,17247,Mornac-sur-Seudre,865.0
95,95023,Arronville,624.0
85,85024,Bois-de-Céné,2159.0
40,40042,Biarrotte,345.0
57,57457,Menskirch,138.0
37,37149,Marray,482.0
26,26204,Montlaur-en-Diois,145.0
32,32044,Béraut,292.0
31,31282,Launaguet,9260.0
88,88445,Saulcy-sur-Meurthe,2319.0
32,32070,Cahuzac-sur-Adour,202.0
89,89483,Voisines,514.0
91,91111,Briis-sous-Forges,3380.0
34,34016,Aumelas,557.0
17,17044,Berneuil,1162.0
54,54318,Liverdun,5694.0
41,41246,Seur,479.0
55,55467,Sampigny,697.0
68,68227,Muntzenheim,1283.0
38,38075,Chapareillan,2997.0
04,04214,Tartonne,127.0
61,61145,Domfront,4155.0
70,70052,Bassigney,118.0
60,60404,Mogneville,1490.0
50,50285,Magneville,312.0
64,64090,Baliracq-Maumusson,119.0
46,46175,Lissac-et-Mouret,930.0
17,17301,Romazières,77.0
22,22283,Saint-Clet,872.0
61,61116,Condé-sur-Huisne,1983.0
23,23091,Gioux,171.0
02,02229,Courtrizy-et-Fussigny,75.0
02,02573,Orgeval,55.0
02,02657,Rougeries,218.0
16,16312,Saint-Cybardeaux,822.0
81,81200,Palleville,444.0
49,49369,Vernoil-le-Fourrier,1283.0
71,71126,Chevagny-les-Chevrières,597.0
61,61044,Berjou,437.0
33,33063,Bordeaux,261804.0
37,37084,Couesmes,549.0
31,31292,Lescuns,74.0
67,67364,Osthouse,934.0
71,71293,Ménetreuil,410.0
82,82049,Donzac,1035.0
79,79141,Irais,208.0
17,17407,Sainte-Soulle,4961.0
53,53201,Saint-Berthevin,7353.0
36,36060,Crevant,704.0
91,91629,Valpuiseaux,621.0
55,55110,Chauvency-Saint-Hubert,223.0
24,24006,Allas-les-Mines,191.0
59,59218,Étroeungt,1273.0
76,76681,Sotteville-lès-Rouen,28965.0
92,92033,Garches,17898.0
43,43136,Monistrol-d'Allier,216.0
24,24081,Carlux,640.0
61,61171,Fontaine-les-Bassets,111.0
24,24337,Prats-du-Périgord,146.0
32,32378,Saint-Germé,504.0
54,54505,Sexey-aux-Forges,730.0
55,55460,Saint-Julien-sous-les-Côtes,139.0
77,77078,Chamigny,1378.0
02,02359,Grugies,1259.0
