codgeo,libgeo,revenu_median
01001,L'Abergement-Clémenciat,25820.0
01002,L'Abergement-de-Varey,24480.0
01004,Ambérieu-en-Bugey,21660.0
01005,Ambérieux-en-Dombes,24610.0
01006,Ambléon,24210.0
01007,Ambronay,24860.0
01008,Ambutrix,26300.0
01009,Aert-et-Coon,24810.0
01010,Anglefort,24700.0
01011,Apremont,24530.0
01012,Aranc,24270.0
01013,Araas,22180.0
01014,Arbent,22410.0
01015,Arboys en Bugey,23800.0
01016,Arbigny,23080.0
01017,Argis,20790.0
01019,Armix,
01021,Ars-sur-Formans,26430.0
01022,Artemare,22000.0
01023,Asnières-sur-Saône,
01024,Attignat,24460.0
01025,Bâgé-Dommartin,24880.0
01026,Bâgé-le-Châtel,22860.0
01027,Balan,25770.0
01028,Baneins,25520.0
01029,Beaupont,21350.0
01030,Beauregard,24240.0
01031,Bellignat,20550.0
01032,Béligneux,23060.0
01033,Valserhône,23780.0
01034,Belley,21180.0
01035,Belleydoux,26160.0
01036,Valromey-sur-Séran,23820.0
01037,Bénonces,21770.0
01038,Bény,24250.0
01039,Béon,22130.0
01040,Béréziat,23440.0
01041,Bettant,25150.0
01042,Bey,25520.0
01043,Beynost,28730.0
01044,Billiat,28550.0
01045,Birieux,28180.0
01046,Biziat,24260.0
01047,Blyes,27110.0
01049,La Boisse,26780.0
01050,Boissey,23180.0
01051,Bolozon,
01052,Bouligneux,27630.0
01053,Bourg-en-Bresse,20210.0
01054,Bourg-Saint-Christophe,27320.0
01056,Boyeux-Saint-Jérôme,21640.0
01057,Boz,24300.0
01058,Brégnier-Cordon,23420.0
01060,Brénod,24970.0
01061,Brens,25110.0
01062,Bressolles,28710.0
01063,Brion,25400.0
01064,Briord,23440.0
01065,Buellas,26810.0
01066,La Burbanche,
01067,Ceignes,25900.0
01068,Cerdon,21410.0
01069,Certines,25570.0
01071,Cessy,42540.0
01072,Ceyzériat,25320.0
01073,Ceyzérieu,25250.0
01074,Chalamont,23720.0
01075,Chaleins,24890.0
01076,Chaley,21070.0
01077,Challes-la-Montagne,24620.0
01078,Challex,44460.0
01079,Champagne-en-Valromey,22770.0
01080,Champdor-Corcelles,23720.0
01081,Champfromier,27400.0
01082,Chanay,27880.0
01083,Chaneins,25580.0
01084,Chanoz-Châtenay,24050.0
01085,La Chapelle-du-Châtelard,26330.0
01087,Charix,27320.0
01088,Charnoz-sur-Ain,28140.0
01089,Château-Gaillard,25170.0
01090,Châtenay,24090.0
01092,Châtillon-la-Palud,25470.0
01093,Châtillon-sur-Chalaronne,23430.0
01094,Chavannes-sur-Reyssouze,23460.0
01095,Nivigne et Suran,23260.0
01096,Chaveyriat,23940.0
01098,Chazey-Bons,22520.0
